"","gene_id","gene_name","logFC","logCPM","LR","PValue","FDR"
"1","ENSMUSG00000026043","Col3a1",2.82219594053547,3.68747048792363,66.2870013229105,3.89820929130525e-16,5.66331845840827e-12
"2","ENSMUSG00000035202","Lars2",1.27927272914792,8.51301452973656,60.9060391947664,5.9864912991263e-15,4.34858727968535e-11
"3","ENSMUSG00000052981","Ube2ql1",-1.14601935987199,5.43479727300815,49.2135015128031,2.29565189183655e-12,1.11170768948671e-08
"4","ENSMUSG00000028364","Tnc",-1.10061304373168,7.65220378039519,47.6400595578835,5.12112496861327e-12,1.37650624785456e-08
"5","ENSMUSG00000070348","Ccnd1",-0.8013028796381,5.48240647097218,47.4353194594998,5.68491016459759e-12,1.37650624785456e-08
"6","ENSMUSG00000098973","Mir6236",0.986610538278577,5.46877525048717,48.1188574766342,4.01149896726457e-12,1.37650624785456e-08
"7","ENSMUSG00000032446","Eomes",-0.710781110902998,9.08250937789353,45.9347061303301,1.2226067721837e-11,2.53743302661212e-08
"8","ENSMUSG00000021219","Rgs6",-2.17382432618272,1.38873863303112,40.7987603542756,1.6874009735745e-10,2.94104409184225e-07
"9","ENSMUSG00000039114","Nrn1",-1.07916607723074,4.47457634897449,40.6488360581234,1.82195738068421e-10,2.94104409184225e-07
"10","ENSMUSG00000029661","Col1a2",1.98672131374998,3.24381017810785,40.0939910399664,2.42032349169291e-10,3.51624596873146e-07
"11","ENSMUSG00000032128","Robo3",2.10012866639069,1.81628990651933,39.4449179180664,3.37444808342933e-10,4.45672561418739e-07
"12","ENSMUSG00000021136","Smoc1",-0.685566750639427,5.82209555232871,38.0612571783299,6.85580169321849e-10,8.30009058325652e-07
"13","ENSMUSG00000035033","Tbr1",-0.663850145111354,6.22126110802759,35.6537361204482,2.35695418661174e-09,2.63398695562272e-06
"14","ENSMUSG00000061808","Ttr",5.59296677521404,5.24519625815184,35.4795262494748,2.5774553880546e-09,2.67466227697552e-06
"15","ENSMUSG00000076258","Gm23935",1.30474600727833,5.71924435385602,33.8494449216188,5.95460786655463e-09,5.76723620568705e-06
"16","ENSMUSG00000041272","Tox",-0.767133824965361,4.73140799348294,31.5294159492452,1.96441726849665e-08,1.78369087979496e-05
"17","ENSMUSG00000025743","Sdc3",-0.685281593414382,7.230724210148,31.0441485114827,2.52225567716869e-08,2.15549002811216e-05
"18","ENSMUSG00000027832","Ptx3",-0.813360047576779,4.79317239714786,30.2169542286134,3.86317609742772e-08,3.11801235241278e-05
"19","ENSMUSG00000070570","Slc17a7",-1.15245433000022,3.77277420445995,29.3558577024016,6.02341673130907e-08,4.60569464591885e-05
"20","ENSMUSG00000006205","Htra1",-0.802249861277902,4.99282211465412,28.8403075217967,7.85982414021602e-08,5.70937625545291e-05
"21","ENSMUSG00000020000","Moxd1",2.27036380316838,0.616373424181254,27.0769688297059,1.95513452376748e-07,0.000135258068387114
"22","ENSMUSG00000031284","Pak3",0.622148161579756,6.4920396574265,26.2000830265023,3.07809295252864e-07,0.000203266065519709
"23","ENSMUSG00000052353","Cemip",-1.63467542579256,1.70881772775389,25.8395442413612,3.71008978665559e-07,0.000227476234067064
"24","ENSMUSG00000088609","Gm24187",1.14975512541548,3.08443047770217,25.8148467192969,3.75786730287e-07,0.000227476234067064
"25","ENSMUSG00000063696","Gm8730",-1.60799928899309,4.38001629759799,25.7357880795024,3.91499362020828e-07,0.000227508109257543
"26","ENSMUSG00000081434","Gm14165",-1.99181926250531,1.80588438854683,25.5120078721761,4.3963820280384e-07,0.000245656300397469
